"","X","BD","year","yd","monthproxy","smax","zmax","delta","sanom","sb","zt","zb","N2","zn2","tmax","tt","tb","smax_yn","Name","NumofPoly","NumofSta","Region","Area","Type","lon","lat"
"9704",9703,57,2000,80,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.935,35.7267
"9939",9938,72,2000,146,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8433,36.4033
"9946",9945,76,2000,253,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.845,36.3683
"9947",9946,80,2000,253,5,33.575,37,48.3870967741935,0.688000000000002,32.887,11.6129032258065,60,0.00106417080356528,66,19.6,19.9590322580645,12.98,1,1,1,1,"MAB",1540.431866,"SB",-74.8617,36.1917
"10196",10195,89,2001,34,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.815,36.3417
"10197",10196,91,2001,34,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8417,36.1683
"10198",10197,83,2001,34,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.9117,35.9067
"10199",10198,95,2001,34,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.88,35.84
"10200",10199,89,2001,35,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8617,35.7217
"10329",10328,90,2001,75,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8517,35.7
"10333",10332,68,2001,75,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.9083,36.1667
"10334",10333,83,2001,75,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8483,36.2617
"10667",10666,62,2001,250,5,35.393,21,26.3324742268041,2.283,33.11,2.66752577319588,29,0.00306163861354404,20,20.09,24.4301288659794,9.15,1,1,1,1,"MAB",1540.431866,"SB",-74.84,36.445
"10669",10668,114,2001,251,5,33.797,17,12.5884413309983,0.849999999999994,32.947,15.4115586690017,28,0.00635378710263015,16,18.77,22.4785814360771,9.85,1,1,1,1,"MAB",1540.431866,"SB",-74.8783,35.8267
"10671",10670,55,2001,251,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.9483,35.7
"10672",10671,73,2001,251,5,35.921,31,20.4327790973872,2.909,33.012,15.5672209026128,36,0.00278580692845452,11,26.2,23.0036057007126,14.69,1,1,1,1,"MAB",1540.431866,"SB",-74.8467,35.6117
"10829",10828,85,2002,227,4,34.062,20,22.6962025316456,0.469999999999999,33.592,4.30379746835444,27,0.0032402103058488,20,20.23,25.6113924050633,14.87,1,1,1,1,"MAB",1540.431866,"SB",-74.82,36.3917
"10903",10902,54,2002,40,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8533,35.5517
"10904",10903,99,2002,40,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.845,35.7117
"10905",10904,109,2002,40,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.825,35.9567
"10909",10908,79,2002,40,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.89,36.1333
"10910",10909,120,2002,40,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.7833,36.3833
"10911",10910,89,2002,41,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.805,36.41
"10912",10911,50,2002,41,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8817,36.3833
"11087",11086,79,2002,82,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.855,35.6633
"11088",11087,53,2002,82,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.945,35.66
"11090",11089,87,2002,82,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8767,36.04
"11150",11149,83,2002,144,3,36.261,25,34.7078341013825,1.063,35.198,1.29216589861751,36,0.000885390475979455,4,21.95,21.3141566820277,16.26,1,1,1,1,"MAB",1540.431866,"SB",-74.8883,35.88
"11377",11376,121,2002,251,5,36.277,30,35.1780272654371,1.115,35.162,4,39.1780272654371,0.00169478876984586,38,27.05,27.48,21.7630392943063,1,1,1,1,"MAB",1540.431866,"SB",-74.8167,36.02
"11379",11378,61,2002,251,5,33.995,24,20.3826086956522,0.540999999999997,33.454,13.6173913043478,34,0.00185057781763657,26,22.99,25.0393913043478,17.96,1,1,1,1,"MAB",1540.431866,"SB",-74.9483,35.9
"11381",11380,110,2002,251,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.84,35.7067
"11383",11382,67,2002,251,5,36.213,36,45.5054545454546,0.471000000000004,35.742,2,47.5054545454546,0.00188628188570471,49,26.86,27.77,23.9586181818182,1,1,1,1,"MAB",1540.431866,"SB",-74.8767,35.675
