"","Region","Type",".y.","group1","group2","n1","n2","estimate","conf.low","conf.high","se","statistic","df","p.adj","p.adj.signif","method"
"118","MAB","SB","diff_ci","wind4","wind5",9,9,0.00809480899346671,-1.42594587771916,1.4421354957061,0.313823194717684,0.0182392328802828,15.647536159329,1,"ns","Games-Howell"
"119","MAB","SB","diff_ci","wind4","wind6",9,9,0.0274414657954551,-1.41272475516934,1.46760768676025,0.315082198139963,0.0615840776286751,15.6157606595396,1,"ns","Games-Howell"
"120","MAB","SB","diff_ci","wind5","wind6",9,9,0.0193466568019884,-1.51960837544101,1.55830168904499,0.337724459855708,0.0405068446147481,15.9992289661418,1,"ns","Games-Howell"
"121","SNE","C","diff_ci","wind1","wind2",11,11,0.0788247121515374,-0.743531608287571,0.901181032590646,0.184713554156504,0.301750939404288,19.6945837086412,1,"ns","Games-Howell"
"122","SNE","C","diff_ci","wind1","wind3",11,11,0.0279294102096014,-0.74722120199013,0.803080022409332,0.174372455943304,0.11325799850047,19.9937985343811,1,"ns","Games-Howell"
"123","SNE","C","diff_ci","wind1","wind4",11,11,0.0397724863409713,-0.755482997867285,0.835027970549228,0.17882372384787,0.157268813059029,19.9134931800803,1,"ns","Games-Howell"
"124","SNE","C","diff_ci","wind1","wind5",11,11,0.028026105346037,-0.756071230527029,0.812123441219103,0.17636301107744,0.112367378053721,19.9685874318361,1,"ns","Games-Howell"
"125","SNE","C","diff_ci","wind1","wind6",11,11,-0.00523743643584673,-0.770979252545806,0.760504379674112,0.172260456871646,0.0214989956898827,19.9991221766589,1,"ns","Games-Howell"
"126","SNE","C","diff_ci","wind2","wind3",11,11,-0.050895301941936,-0.879349778228785,0.777559174344913,0.186157438530436,0.193322455539674,19.7729713558482,1,"ns","Games-Howell"
"127","SNE","C","diff_ci","wind2","wind4",11,11,-0.0390522258105661,-0.885421221214913,0.807316769593781,0.190333293827782,0.14508283409452,19.9303758505818,1,"ns","Games-Howell"
"128","SNE","C","diff_ci","wind2","wind5",11,11,-0.0507986068055004,-0.887208272797832,0.785611059186831,0.188023270381128,0.191040392363071,19.8555678257886,1,"ns","Games-Howell"
"129","SNE","C","diff_ci","wind2","wind6",11,11,-0.0840621485873841,-0.90418101532536,0.736056718150592,0.184180627456151,0.322731636482245,19.6623340740383,0.999,"ns","Games-Howell"
"130","SNE","C","diff_ci","wind3","wind4",11,11,0.0118430761313699,-0.789884212925956,0.813570365188696,0.180314777658141,0.0464427794070051,19.9533458898309,1,"ns","Games-Howell"
"131","SNE","C","diff_ci","wind3","wind5",11,11,9.66951364356206e-05,-0.790636494770743,0.790829885043615,0.177874693274189,0.000384392998367618,19.9902664846393,1,"ns","Games-Howell"
"132","SNE","C","diff_ci","wind3","wind6",11,11,-0.0331668466454481,-0.805828644013089,0.739494950722193,0.173807824428918,0.134933523566208,19.9882611714237,1,"ns","Games-Howell"
"133","SNE","C","diff_ci","wind4","wind5",11,11,-0.0117463809949343,-0.821903757661555,0.798410995671686,0.18224043823067,0.0455768529562338,19.9861584207596,1,"ns","Games-Howell"
